feature,label,family,source_cols,super_pillar,sub_pillar,horizon,direction,transform,w_overall,w_chronic,w_acute,include,rationale
opd_neuropsych_per1000,Neuro/psych OPD per 1000 (stroke+mental+epilepsy),hmis,"opd_stroke,opd_mental_illness,opd_epilepsy",need,chronic_burden,current,1,per1000,2,4,0,1,"CNS chronic therapy demand (anti-epileptics antidepressants post-stroke care) - a fast-growing chronic segment. Summed: single CNS demand signal, components too sparse alone."
opd_ophthalmic_per1000,Ophthalmic OPD per 1000,hmis,opd_ophthalmic,need,chronic_burden,current,1,per1000,2,3,0,1,Chronic eye-care demand (glaucoma dry-eye diabetic retinopathy); also cataract surgical load marker.
ipd_tb_per1000,TB admissions per 1000,hmis,ipd_tuberculosis,need,chronic_burden,current,1,per1000,2,3,1,1,TB = 6-month+ regimen: chronic-duration infectious disease with assured repeat dispensing; small acute weight for initial presentation.
ipd_resp_chronic_per1000,Asthma/COPD admissions per 1000,hmis,ipd_asthma_copd_resp,need,chronic_burden,current,1,per1000,2,3,2,1,Chronic respiratory burden (inhalers maintenance therapy) with acute-exacerbation episodes - weighted in both segments.
cancer_incidence_per100k,Cancer incidence (crude per 100k - state),ncrp,cancer_incidence_per100k,need,chronic_burden,current,1,precomputed,2,3,0,1,"The DIRECT oncology burden signal the chronic index previously lacked (oncology was only implicit in screening_uptake_pct and DM/MCh superspec depth). Oncology is a high-value chronic therapy area (long-course systemic therapy, targeted/immuno agents, supportive care). Source: ICMR-NCDIR National Cancer Registry Programme state/UT-wise ESTIMATED incidence (data.gov.in, both sexes/all sites; 2022 national total 1,461,427 matches the published NCRP figure), converted to a crude RATE = state cases / state pop_ghs_2025 x 1e5 and assigned FLAT within state. Chronic-only (w 2/3/0): cancer is not an acute first-contact market. STATE resolution is a deliberate, documented limitation - India has no official district-level cancer incidence (the ~30 NCRP PBCRs are city/select-district and populous states e.g. UP/Bihar have none), so a state anchor is the honest ceiling; weight held to 3 (not 5 like measured diabetes/hypertension) because of that coarseness. Within-state oncology texture is carried by the district-level tobacco_use_pct gradient (oral/lung cancer is India's tobacco-driven leading site). Cases/population (not the population-dominated case COUNT) recovers the true per-capita gradient - Kerala 164 and Mizoram 139 highest (documented highest-incidence geographies), young UP/Bihar/Arunachal lowest. Added v1.4.13."
child_diarrhoea_pct,Child diarrhoea 2-wk prevalence (%),nfhs5,diarrhoea_child_pct,need,acute_burden,current,1,none,2,0,5,1,Flagship acute paediatric indication (ORS zinc antibiotics). Two-week recall prevalence = episodic incidence proxy.
child_ari_pct,Child ARI 2-wk prevalence (%),nfhs5,ari_child_pct,need,acute_burden,current,1,none,2,0,5,1,Acute respiratory infection in under-5s: antibiotic/antipyretic core of the acute market.
child_anaemia_pct,Child anaemia (%),nfhs5,anaemia_child_pct,need,acute_burden,current,1,none,1,0,3,1,Paediatric nutritional deficiency - syrups/drops segment; part-programmatic (free IFA) hence moderate weight.
child_undernutrition_pct,Child undernutrition (mean of stunted/wasted/underweight %),nfhs5,"child_stunted_pct,child_wasted_pct,child_underweight_pct",need,acute_burden,current,1,mean,2,0,4,1,Undernourished children have higher infection frequency/severity - multiplies acute episode volume; averaged to one anthropometric signal.
vector_borne_per1000,Malaria+dengue positives per 1000,hmis,"malaria_positive_cases,dengue_positive_cases",need,acute_burden,current,1,per1000,2,0,5,1,Confirmed vector-borne caseload: seasonal acute spikes (antimalarials antipyretics IV fluids platelet support). Summed lab-confirmed positives.
enteric_ipd_per1000,Typhoid+diarrhoea admissions per 1000,hmis,"ipd_typhoid,ipd_diarrhoea_dehydration",need,acute_burden,current,1,per1000,1,0,4,1,Severe enteric infection admissions - water/food-borne acute demand (antibiotics fluids).
child_acute_hmis_per1000,Child diarrhoea+URI treated per 1000,hmis,"child_diarrhoea,child_uri_admitted",need,acute_burden,current,1,per1000,1,0,4,1,Revealed paediatric acute treatment volume in public facilities; complements NFHS prevalence with facility-load data.
snakebite_per1000,Snakebite emergencies per 1000,hmis,emergency_snakebite,need,acute_burden,current,1,per1000,1,0,2,1,Rural emergency-care marker (anti-venom cold chain); proxies deep-rural acute reach requirements.
pm25_mean,Ambient PM2.5 (annual mean),shrug_novel,pm25_mean_latest,need,acute_burden,current,1,none,1,1,3,1,Air-pollution load drives ARI/asthma/COPD exacerbations (acute) and long-run respiratory disease (some chronic weight). Satellite-derived: novel-data differentiation.
poor_sanitation_pct,Households without improved sanitation (%),nfhs5,improved_sanitation_pct,need,acute_burden,current,-1,flip100,1,0,4,1,Poor sanitation = enteric/parasitic infection risk environment. Stored as 100-improved so higher = more acute-market risk; direction handled in construction.
unsafe_water_pct,Households without improved water (%),nfhs5,improved_water_pct,need,acute_burden,current,-1,flip100,1,0,4,1,Unsafe water = water-borne disease exposure; same construction as sanitation. v1.4.11: acute weight raised 3->4 to match poor_sanitation_pct - enteric disease (diarrhoea/typhoid) is the top acute-paediatric indication and unsafe water is its primary transmission route.
solid_fuel_ari_pct,Solid cooking-fuel households (% - household air pollution),nfhs5,clean_fuel_pct,need,acute_burden,current,-1,flip100,1,0,3,1,Household air pollution from solid cooking fuel (100 - clean_fuel_pct): a WHO-established leading driver of childhood acute respiratory infection/pneumonia - the antibiotic/antipyretic core of the acute paediatric market. Complements ambient pm25_mean (outdoor) and measured ari_child_pct with the indoor-smoke exposure that hits under-5s hardest. Same NFHS #10 source as the growth-side clean_fuel_pct but opposite construct and sign (parallel to pop_under15_pct vs ageing_transition): a clean-fuel-rich district scores higher on growth AND lower on acute burden - the correct real-world relationship. Direction -1/flip100 documents raw polarity; the flip is applied in build_features. Added v1.4.11.
primary_care_per100k,Sub-centres+PHCs per 100k,rhs_datagovin,"sub_centres_incl_hwc,phcs_incl_hwc",address,care_infrastructure,current,1,per100k,3,1,5,1,First-contact public network where acute episodes present and are prescribed. HWC-reclassified units included for 2019 comparability. Low chronic weight: chronic scripts concentrate higher up the pyramid.
chc_per100k,CHCs per 100k,rhs_datagovin,chcs,address,care_infrastructure,current,1,per100k,3,3,3,1,Secondary tier with specialists (referral point where chronic diagnosis often starts; also acute inpatient care) - balanced weight.
public_hospitals_per100k,SDH+DH per 100k,rhs_datagovin,"sub_divisional_hospitals,district_hospitals",address,care_infrastructure,current,1,per100k,4,4,3,1,District/sub-divisional hospitals anchor diagnosis + institutional prescribing; strongest public-infrastructure signal for sustained therapy.
osm_hospitals_per100k,OSM hospitals per 100k,osm_poi,n_osm_hospitals,address,care_infrastructure,current,1,per100k,4,4,3,1,"Current-vintage hospital density including the PRIVATE hospitals no census/RHS column carries - and India pharma is ~70% private-market. OSM mapping is urban-biased, so this is a percentile presence/density signal, never a universe count. Chronic over acute: hospitals anchor specialist prescription initiation."
osm_clinics_per100k,OSM clinics & doctors per 100k,osm_poi,n_osm_clinics,address,care_infrastructure,current,1,per100k,3,3,4,1,First-contact private clinics / GP practices: the entry point of the acute prescription (fever infection GI) and the referral source for chronic diagnosis. Acute-weighted because episodic illness is treated at the nearest clinic not a hospital.
pmjay_private_share,Private share of PM-JAY empanelled hospitals (%),pmjay,"n_pmjay_private,n_pmjay_public",address,care_infrastructure,current,1,share,3,3,2,1,Revealed private-market viability: private hospitals empanel only where insured volumes are commercially attractive so a high private share marks districts whose private provision - pharma's main detailing target - is vibrant and open to funded patients. Share (not count) keeps it orthogonal to the density features. NaN where no hospital is empanelled (imputation ladder documents it); also masked to NaN in WB/Odisha/Delhi whose platform picture is structurally partial (v1.4.6).
private_medical_per100k,Private medical facilities per 100k (towns 2011),census_towndir,pc11_td_medical_priv,excluded,excluded,current,1,per100k,0,0,0,0,EXCLUDED (superseded 2026-07-16): replaced by the osm_* POI family - same private-supply construct but current-vintage OSM vs towns-directory 2011 (was our single biggest data weakness). Documented fallback: re-enable if OSM proves too sparse in a region.
mbbs_seats_per100k,MBBS seats per 100k,nmc,mbbs_seats,address,care_infrastructure,current,1,per100k,3,3,2,1,Physician pipeline + teaching-hospital service capacity; med-college districts anchor prescriber ecosystems.
pg_seats_per100k,PG (MD/MS) seats per 100k,nmc,pg_seats,address,care_infrastructure,current,1,per100k,3,5,1,1,Specialist pipeline: chronic therapy is specialist-initiated (cardiologist endocrinologist) so PG depth is a core chronic addressability signal.
superspec_seats_per100k,DM/MCh super-specialty seats per 100k,nmc,pg_superspecialty_seats,address,care_infrastructure,current,1,per100k,2,5,0,1,Tertiary referral depth (DM/MCh = cardiology neurology oncology surgical superspecialties). Marks referral-pull hub districts that capture surrounding chronic demand.
med_college_hub,Medical college hub score (log colleges),nmc,"mbbs_college_count,pg_college_count",address,care_infrastructure,current,1,log1p_sum,3,4,1,1,Count of teaching institutions = institutional gravity/KOL presence beyond seat numbers; log to damp metro pile-up.
opd_total_per1000,Total OPD visits per 1000,hmis,opd_allopathic_total,need,acute_burden,current,1,per1000,4,3,5,1,Revealed overall care-seeking volume - the single best flow measure of a district's treatable demand actually presenting; skews acute (episodic visits dominate OPD).
acute_seasonality_amp,Acute caseload seasonality (peak-quarter share of annual %),hmis_monthly,hmis_seasonality: acute_peak_quarter_share,need,acute_burden,current,1,precomputed,1,0,3,1,"Seasonal CONCENTRATION of the episodic acute caseload: share of the FY2018-19 year's malaria/dengue/enteric/child-acute/snakebite volume landing in the district's peak 3-month window (25 = flat year, 100 = single-quarter market), from HMIS-portal monthly data. Spiky districts are the archetypal acute market - monsoon/winter surges that reward seasonal stocking, pre-season detailing and surge distribution; flat districts consume steadily. Complements the annual LEVEL features with SHAPE; guarded (OPD reported >=11/12 months, basket >=120 cases/yr, else NaN -> ladder). Family hmis_monthly, deliberately outside the 13-feature hmis state-reporting sensitivity blend: a within-district shape ratio is far less exposed to state completeness than levels are. Single-FY estimate, read as a relative percentile."
ipd_total_per1000,Total admissions per 1000,hmis,ipd_admissions_total,address,care_utilization,current,1,per1000,3,3,3,1,Hospitalisation throughput = functioning inpatient system (acute severity + chronic complications both flow through IPD).
lab_tests_per1000,Lab tests per 1000,hmis,lab_tests_total,address,care_utilization,current,1,per1000,4,5,2,1,Diagnostic activity precedes chronic diagnosis (HbA1c lipid panels): the closest thing we hold to diagnosis capacity in use. Chronic-critical.
osm_labs_per100k,OSM diagnostic labs per 100k,osm_poi,n_osm_labs,address,care_utilization,current,1,per100k,3,5,1,1,"Private diagnostics presence (incl. sample-collection points of chain labs): HbA1c/lipid testing that initiates chronic therapy happens largely outside the public HMIS labs we measure in lab_tests_per1000. Chronic-critical, near-zero acute role."
institutional_births_pct,Institutional births (%),nfhs5,institutional_births_pct,address,care_utilization,current,1,none,3,2,4,1,"System trust + physical access proxy: where women deliver in facilities, families use formal care for acute episodes too. HMIS deliveries duplicate this - NFHS kept (cleaner denominator)."
child_full_immun_pct,Children fully immunised (%),nfhs5,child_full_immun_pct,address,care_utilization,current,1,none,2,1,4,1,Preventive-care completion = outreach reach + parental engagement with formal medicine; paediatric/acute-aligned.
child_acute_careseek_pct,Child acute episodes taken to a provider (%),nfhs5,"child_diarrhoea_careseek_pct,child_fever_careseek_pct",address,care_utilization,current,1,mean,2,0,3,1,"Treatment-seeking CONVERSION for paediatric acute episodes (NFHS-5 #64 diarrhoea + #66 fever/ARI taken to a facility/provider, averaged): burden only monetises where families act on symptoms - separates high-burden-high-conversion acute markets from high-burden-untreated ones. Complements institutional births/immunisation (general formal-care habit) with episode-level acute behaviour. Factsheet suppresses small episode cells: 551/785 observed, missing skews to LOW-burden districts (TN/MP) so the state-median ladder is conservative; moderate weight for 2-week-recall noise."
chronic_treat_realiz_pct,Chronic NCD treatment-realisation rate (%),nfhs5,chronic_treat_realiz_pct,address,care_utilization,current,1,precomputed,2,3,0,1,"The chronic analog of child_acute_careseek_pct: how well latent chronic (NCD) need CONVERTS into sustained, effective treatment - the market-realisation dimension the index otherwise lacked (burden and OPD volume were carried; conversion was not). DERIVED from NFHS-5 district factsheets, which publish no standalone treated-share indicator but do give both the measured-high biomarker prevalence AND a composite 'measured-high OR taking medicine to control it' for each of diabetes (women: #86 high + #87 very-high vs #88 composite) and hypertension (#92 mild + #93 mod/severe vs #94 composite). composite - measured = the share on medication whose biomarker is now CONTROLLED (they read normal, so enter only via 'taking medicine'); summed over both conditions and divided by the composite NCD pool (88+94), x100 = the realisation RATE. Chronic-only (w 2/3/0): a diabetes/hypertension continuity signal, not an acute first-contact one. INDEPENDENT of the HMIS OPD-visit stream (household-survey biomarker + self-report, not facility throughput) - this is exactly why it succeeds where the held-data OPD-ratio proxy was REJECTED at rho 0.94-0.96: here max rho vs any scored chronic feature is ~0.49 (csection_pct), passing the redundancy gate with wide daylight. Burden-normalised (a ratio, not a level) so it adds conversion, not a second burden count. Weight 3 (not 5): a difference of two survey percentages carries some noise, and the treated-and-CONTROLLED numerator undercounts uncontrolled-on-treatment patients (a conservative, monotone realisation proxy). Direction +: established treatment-realisation = a market that reliably converts diagnosis into repeat chronic prescriptions = more addressable TODAY (headroom/saturation is a separate growth question the index keeps distinct). 783/785 observed. Added v1.4.13."
csection_pct,C-section deliveries (%),nfhs5,csection_pct,address,care_utilization,current,1,none,2,3,1,1,Surgical capacity + private obstetric activity proxy; correlates with higher-value private healthcare consumption.
screening_uptake_pct,Cancer screening uptake (mean cervical/breast/oral %),nfhs5,"cervical_screen_pct,breast_exam_pct,oral_screen_pct",address,care_utilization,current,1,mean,2,4,0,1,Early-detection behaviour = diagnosed-chronic pipeline (oncology cardio-metabolic follow-on). Purely chronic-side.
health_insurance_pct,Households with health insurance (%),nfhs5,health_insurance_pct,address,affordability_channel,current,1,none,4,5,2,1,Payer coverage sustains multi-year chronic therapy adherence and hospital episodes; the demand side of insurance - pairs with pmjay_hospitals_per100k (the supply side).
pmjay_hospitals_per100k,PM-JAY empanelled hospitals per 100k,pmjay,n_pmjay_hospitals,address,affordability_channel,current,1,per100k,4,4,3,1,"Cashless-care supply: where the ~58-crore-beneficiary PM-JAY scheme has deep empanelment, secondary/tertiary treatment is FUNDED - converting covered households into an effectively paying patient pool. Chronic over acute: PM-JAY claims skew to chronic procedure packages (cardiac oncology dialysis). Caveat: West Bengal (own scheme outside the portal) and 2025 joiners Odisha/Delhi measure platform membership rather than insured supply, so the feature is masked to NaN for those three states in build_features (v1.4.6) - the imputation ladder scores them neutral instead of bottom-decile."
wealth_rwi,Relative Wealth Index (Meta),shrug_novel,facebook_mean_rwi,address,affordability_channel,current,1,none,4,4,3,1,Micro-estimated household wealth: direct ability-to-pay for OOP-dominated Indian pharma. Novel-data differentiation with all-India coverage.
log_deposits_per_capita,Bank deposits per capita (log10 Rs),rbi_4a,deposits_cr,address,affordability_channel,current,1,per_capita_log10p,3,4,2,1,Financial wealth stock per head (RBI 4A current-vintage): savings buffer that funds sustained chronic treatment; log for heavy metro skew.
bank_outlets_per100k,Bank outlets per 100k,rbi_dbie,total_bank_outlets,address,affordability_channel,current,1,per100k,2,2,2,1,Formal-finance physical reach: enables cashless payment trade credit and distributor banking - channel hygiene for pharma operations.
janaushadhi_per100k,Jan Aushadhi kendras per 100k,janaushadhi,n_janaushadhi_kendras,address,affordability_channel,current,1,per100k,3,3,4,1,"Generic pharmacy channel density: dispensing points + price-sensitive demand marker; also competitive-intensity signal for branded generics. v1.4.11: acute-tilted (4 vs chronic 3) - the retail counter is the acute market's first contact (India's acute demand is OTC/self-medication-first, patient describes symptoms at the chemist), whereas chronic is prescription-and-refill-led. A complete public registry, so it carries the acute bump more safely than under-mapped OSM."
osm_pharmacies_per100k,OSM retail pharmacies per 100k,osm_poi,n_osm_pharmacies,address,affordability_channel,current,1,per100k,4,3,5,1,"The actual branded-dispensing channel (retail chemists) - previously unobserved; Jan Aushadhi covers only the public generic channel. v1.4.11: acute-tilted (5 vs chronic 3) - India's acute market is OTC/self-medication-first (walk to the chemist, describe symptoms, buy), whereas chronic dispensing is prescription-and-refill-led at a stable pharmacy. OSM under-mapping (~8k mapped of ~0.9M real chemists) means density signal only - the acute weight is 5 not 6-equivalent-max precisely to avoid amplifying urban mapping bias; the complete Jan Aushadhi registry carries the parallel acute bump."
rural_stable_income_share,Rural salaried-household share (%),secc,"seccR_salary_gov_share,seccR_salary_priv_share",address,affordability_channel,current,1,sum,2,3,1,1,Salaried households have predictable income - supports monthly chronic refill purchases in rural markets. No team-table equivalent for the SHRUG gap states (all Kerala/Lakshadweep NaN) - lands on the imputation ladder there (v1.4.7 audit).
rural_income10k_share,Rural households earning 10k+ (%),secc,seccR_inc_10k_plus_share; gaps: secc_income_bands.Pct_HH_Income_above_10000,address,affordability_channel,current,1,none,2,3,1,1,Premium rural affordability tier: candidates for branded/newer chronic molecules rather than lowest-cost generics. SHRUG gap (157 districts incl. all Kerala/Lakshadweep) backfilled from the team SECC income-band table; scale-calibrated on the 614-district overlap (v1.4.7).
vehicle_owning_share,Rural vehicle-owning households (%),secc,"seccR_veh_two_three_share,seccR_veh_four_share",address,affordability_channel,current,1,sum,1,2,1,1,Asset-based affluence + physical mobility to reach chemists/facilities; secondary to RWI hence low weight. 2011 ownership STOCK - the current-vintage registration FLOW side is carried by the vahan family (vehicle_reg_per1000 etc.). No team-table equivalent for the SHRUG gap states (all Kerala/Lakshadweep NaN) - lands on the imputation ladder there (v1.4.7 audit).
worker_rate,Work participation rate (%),census_pca,worker_rate,address,affordability_channel,current,1,none,1,1,1,1,Earning-population share: weak generic affordability signal kept at minimal weight.
oop_delivery_rs,OOP spend on public delivery (Rs),nfhs5,oop_delivery_public_rs,address,affordability_channel,current,1,log10p,1,2,1,1,Ambiguous by design: high OOP = burden BUT also demonstrated willingness/capacity to spend on health - and Indian pharma is OOP-funded. Kept positive at low weight; sensitivity-tested.
viirs_level,Nightlights intensity (log VIIRS mean),shrug_novel,viirs_mean_latest,address,affordability_channel,current,1,log1p,3,3,2,1,Current economic activity level from satellite: cash in the local economy. Novel differentiator; log for metro skew.
kisan_cc_share,Rural Kisan credit card share (%),secc,seccR_kisan_cc; gaps: secc_land_ownership.Pct_HH_Kisan_Credit_Card_50k_Above,address,affordability_channel,current,1,none,1,1,1,1,Rural formal-credit access smooths lumpy health spending; minor supplementary signal. SHRUG gap (157 districts incl. all Kerala/Lakshadweep) backfilled from the team SECC land-ownership table; scale-calibrated on the overlap (v1.4.7).
deposits_cagr_3y,Deposit growth 3-yr CAGR (%),rbi_4a,deposits_cagr_3y,growth,economic_momentum,future,1,none,4,4,3,1,Wealth accumulation MOMENTUM (2023-2026 actuals): districts getting richer will afford more/premium therapy tomorrow.
credit_cagr_3y,Credit growth 3-yr CAGR (%),rbi_4a,credit_cagr_3y,growth,economic_momentum,future,1,none,3,3,2,1,Credit expansion = business formation/investment appetite - forward commercial vitality.
nightlights_cagr,Nightlights annual CAGR (%),shrug_novel,viirs_annual_mean_cagr_pct,growth,economic_momentum,future,1,none,5,4,4,1,"Satellite-measured economic growth - the flagship forward-looking novel signal, independent of any survey."
cd_ratio_pct,Credit-deposit ratio (%),rbi_4a,cd_ratio_pct,growth,economic_momentum,future,1,none,3,3,2,1,High CD ratio = local savings deployed locally as credit - entrepreneurial economies that convert wealth into activity.
nonfarm_emp_per_1k,Non-farm jobs per 1000 (EC 2013),shrug_ec13,ec13_nonfarm_emp_per_1k,growth,economic_momentum,future,1,none,3,3,2,1,Structural modernisation: non-farm employment shifts populations toward urban lifestyles chronic risk and formal healthcare.
services_emp_share,Services employment share (EC 2013),shrug_ec13,ec13_services_emp_share,growth,economic_momentum,future,1,none,2,2,1,1,Service-economy share: white-collar transition marker (sedentary work - metabolic risk - insurance jobs).
vehicle_reg_per1000,Vehicle registrations per 1000 (CY2023),vahan,"veh_reg_2023,pop_ghs_2025",growth,economic_momentum,future,1,per1000,4,3,3,1,"Revealed discretionary spending powering out-of-pocket pharma (~50% of Indian drug spend): a household that registers a vehicle this year can fund a prescription this year. CURRENT-vintage flow (CY2023 VAHAN, dump-rows cleaned + FADA-anchor-validated) vs the 2011 SECC ownership STOCK - this is how the framework improves on census-era affordability practice. Telangana/Lakshadweep were not on VAHAN in-window: NaN -> ladder, documented not zeroed."
vehicle_4w_share,Four-wheeler share of personal registrations (%),vahan,"veh_lmv_2023,veh_2w_2023",growth,economic_momentum,future,1,share,3,4,2,1,"Premium-affluence MIX: cars vs two-wheelers within the same district's registrations. Being a ratio it needs no population denominator, so district-population error cannot distort it -- but it does need a VOLUME floor: computed only where the district registers >= 200 personal vehicles a year, because below that the mix is noise (3 cars and 0 bikes is not ""100% premium""), which otherwise handed ~25 remote hill districts a top-percentile affluence score. High 4W share marks private-pay depth for premium/branded chronic therapy (chronic 4 > acute 2: acute volume is mass-market, chronic-brand economics follow affluence)."
vehicle_reg_growth,Vehicle registration growth 2019-2023 (%),vahan,"veh_reg_2019,veh_reg_2023",growth,economic_momentum,future,1,pct_growth,3,3,3,1,Consumption momentum through COVID: districts whose registrations regrew past the 2019 pre-COVID base have demand engines (income + credit + aspiration) that also expand pharma spend. Computed only where the 2019 base >= 500 (a new RTO opening mid-window shifts volume between districts and fakes growth); segment-neutral 3/3/3.
grad_share,Graduate share (mean rural+urban %),secc,"seccR_ed_grad_share,seccU_ed_grad_share; gaps: secc_education[_urban].Pct_Graduate_or_Higher",growth,development_transition,future,1,mean,3,4,2,1,Education drives health literacy diagnosis-seeking and therapy adherence; graduates adopt preventive chronic care earliest. SHRUG gap (158-171 districts incl. all Kerala/Lakshadweep) backfilled from the team SECC education tables; scale-calibrated on the ~600-district overlap (v1.4.7).
women_schooling_pct,Women with 10+ yrs schooling (%),nfhs5,women_10yr_school_pct,growth,development_transition,future,1,none,3,4,2,1,Women are household health decision-makers: female education is the strongest single predictor of formal healthcare adoption.
clean_fuel_pct,Clean cooking fuel (%),nfhs5,clean_fuel_pct,growth,development_transition,future,1,none,2,3,0,1,"Household modernisation rung strongly associated with rising consumer spending. v1.4.11: acute weight dropped 1->0 - clean fuel is a POSITIVE development/growth signal, but the household-air-pollution ACUTE burden runs the OTHER way (solid-fuel smoke drives childhood ARI), so that construct is now carried with the correct sign by solid_fuel_ari_pct in need/acute_burden rather than as a muddy positive here."
facility_growth_pct,Public facility growth 2012-19 (%),rhs_datagovin,"panel: SC+PHC+CHC (incl HWC) 2012 vs 2019, component-matched",growth,development_transition,future,1,precomputed,3,2,4,1,"Public-infrastructure expansion momentum: where the state is adding facilities access is improving - future addressability. v1.4.12: computed only on core components observed in BOTH years (RHS-2012 publishes Kerala CHCs / Uttarakhand SCs+CHCs / Puducherry SCs+PHCs only in the state Total row - a plain row total fabricated tiny baselines, Puducherry +4150%); 2019 HWCs join only with their matched parent component; baselines <10 facilities -> NaN (tiny-base growth is noise; 733/785 observed)."
obesity_delta,Obesity change NFHS4-5 (pp),nfhs5_delta,"obese_women_pct,obese_women_pct_n4",growth,demand_transition,future,1,delta,4,5,0,1,Lifestyle-transition VELOCITY: districts where obesity is rising fastest are tomorrow's diabetes/CVD markets - the chronic future-demand signal.
