specialty_code,specialty_name,package_code,package_name,package_amount_rs,pre_investigations,post_investigations,govt_reserved,referral_basis
IN,Interventional Neuroradiology,IN001A,Dural AVMs (per sitting) with glue,70000,Clinical notes and CT/MRI/ DSA confirming the diagnosis,"Detailed Procedure / Operative Notes. Radiographic stills
photograph/CT/MRI/Angio, Invoice / bar code of glue used, Detailed Discharge Summary",No,--
IN,Interventional Neuroradiology,IN001B,Dural AVFs (per sitting) with glue,70000,Clinical notes and CT/MRI/ DSA confirming the diagnosis,"Detailed Procedure / Operative Notes. Radiographic stills
photograph/CT/MRI/Angio, Invoice / bar code of glue used, Detailed Discharge Summary",No,--
IN,Interventional Neuroradiology,IN001C,Dural AVMs (per sitting) with onyx,150000,Clinical notes and CT/MRI/ DSA confirming the diagnosis,"Detailed Procedure / Operative Notes. Radiographic stills
photograph/CT/MRI/Angio, Invoice / bar code of Onyx used, Detailed Discharge Summary",No,--
IN,Interventional Neuroradiology,IN001D,Dural AVFs (per sitting) with onyx,150000,Clinical notes and CT/MRI/ DSA confirming the diagnosis,"Detailed Procedure / Operative Notes. Radiographic stills
photograph/CT/MRI/Angio, Invoice / bar code of Onyx used, Detailed Discharge Summary",No,--
IN,Interventional Neuroradiology,IN002A,"Cerebral AVM embolization - Using Histoacryl 
(per sitting)",100000,Clinical notes and CT/MRI/ DSA confirming the diagnosis,"Detailed Procedure / Operative Notes. Radiographic stills
photograph/CT/MRI/Angio, Invoice / bar code of histoacryl used, Detailed Discharge Summary",No,--
IN,Interventional Neuroradiology,IN002B,"Spinal AVM embolization - Using Histoacryl 
(per sitting)",100000,Clinical notes and CT/MRI/ DSA confirming the diagnosis,"Detailed Procedure / Operative Notes. Radiographic stills
photograph/CT/MRI/Angio, Invoice / bar code of histoacryl used, Detailed Discharge Summary",No,--
IN,Interventional Neuroradiology,IN003A,"Coil embolization for aneurysms 
(includes cost of first 3 coils + balloon and / or stent if used)",100000,Clinical notes and CT Angio/MRA/ DSA confirming the diagnosis for which the procedure is done,"Post procedure x-ray showing coils; Detailed Procedure / Operative Notes. Invoice / bar code of used coil / balloon / stent, detailed discharge summary",No,--
IN,Interventional Neuroradiology,IN004A,"Carotico-cavernous Fistula (CCF) embolization with coils. 
[includes 5 coils, guide catheter, micro-catheter, micro-guidewire, general items]",30000,Clinical notes and CT/MRI/ DSA confirming the diagnosis,"Post procedure x-ray showing coils; Detailed Procedure / Operative Notes. Invoice / bar code of used coil / catheter and other accessories, detailed discharge summary",No,--
IN,Interventional Neuroradiology,IN004B,"Carotid-cavernous Fistula (CCF) embolization with balloon 
(includes one balloon, guide catheter, micro-catheter, micro-guidewire, general items)",64000,Clinical notes and CT/MRI/ DSA confirming the diagnosis,"Post procedure x-ray showing balloon; Detailed Procedure / Operative Notes. Invoice / bar code of used coil / catheter and other accessories, detailed discharge summary",No,--
IN,Interventional Neuroradiology,IN005A,"Pre-operative tumour embolization 
(per session)",40000,Clinical notes and CT/MRI/ DSA confirming the diagnosis,"Intra procedure clinical photograph, Detailed discharge summary, Detailed Procedure / Operative Notes. Invoices / bar code of embolic agent used.",No,--
IN,Interventional Neuroradiology,IN006A,Intracranial balloon angioplasty with stenting,160000,Clinical notes and CT/MRI/ DSA confirming the diagnosis,"Intra procedure clinical photograph, Detailed discharge summary, Detailed Procedure / Operative Notes. Invoices / bar code of balloon and stent",No,--
IN,Interventional Neuroradiology,IN007A,Intracranial thrombolysis / clot retrieval,160000,Clinical notes and CT/MRI/ DSA confirming the diagnosis,"Intra procedure clinical photograph, Detailed discharge summary, Detailed Procedure / Operative Notes. Invoices / bar code of thrombolytic agentused.",No,--
IN,Interventional Neuroradiology,IN008A,Balloon test occlusion,70000,Clinical notes and CT/MRI/ DSA confirming the diagnosis,"Intra procedure clinical photograph, Detailed discharge summary, Detailed Procedure / Operative Notes.",No,--
IN,Interventional Neuroradiology,IN009A,Parent vessel occlusion - Basic,30000,Clinical notes and CT/MRI/ DSA confirming the diagnosis,"Intra procedure still photograph showing coil, Detailed Procedure / Operative Notes with procedure deployed; detailed discharge summary; invoice / bar code of coil used",No,--
IN,Interventional Neuroradiology,IN010A,Vertebroplasty ,40000,Clinical notes and CT/MRI confirming the diagnosis and need of procedure; MLC/ FIR if traumatic,"Intra procedure clinical photograph, Detailed discharge summary, Detailed Procedure / Operative Notes. Invoices of cement used.",No,--
IN,Interventional Neuroradiology,MC002A,For Deep vein thrombosis (DVT),30800,Clinical notes and doppler establishing presence of DVT,"Post procedure Colour Doppler of affected limb/part, invoice of catheter used, invoice of the thrombolytic drug (tPA) used, Detailed Discharge Summary.",No,--
IN,Interventional Neuroradiology,MC002B,For Mesenteric Thrombosis,30800,Clinical notes and doppler establishing presence of mesentric thrombosis,"Post procedure Colour Doppler of affected limb/part, invoice of catheter used, invoice of the thrombolytic drug (tPA) used, Detailed Discharge Summary.",No,--
IN,Interventional Neuroradiology,MC002C,For Peripheral vessels,30800,Clinical notes and doppler establishing presence of peripheral vessel thrombosis,"Post procedure Colour Doppler of affected limb/part, invoice of catheter used, invoice of the thrombolytic drug (tPA) used, Detailed Discharge Summary.",No,--
IN,Interventional Neuroradiology,SU008A,Nephrostomy - Percutaneous ultrasound guided,14000,Clinical notes and USG confirming the indication and need of procedure.,"Intra procedure clinical photograph, detailed discharge summary, detailed Procedure / Operative Notes",No,--
MC,Cardiology,MC001A,Right Heart Catheterization,5000,"Clinical notes with planned line of treatment, ECG, ECHO","Discharge summary, Procedure / Operative Notes. Invoices of catherter and other accesories used.",No,--
MC,Cardiology,MC001B,Left Heart Catheterization,5000,"Clinical notes with planned line of treatment, ECG, ECHO","Discharge summary, Procedure / Operative Notes. Invoices of catherter and other accesories used.",No,--
MC,Cardiology,MC003A,Coartication of Aorta,38600,ECHO & CT angiogram report & stills,"Procedure / Operative Notes with images, Post Procedure images / Angiogram, barcode of balloon used, Detailed Discharge Summary",No,--
MC,Cardiology,MC003B,Pulmonary Artrey Stenosis,38600,ECHO & CT angiogram report & stills,"Procedure / Operative Notes with images, Post Procedure images / Angiogram, barcode of balloon used, Detailed Discharge Summary",No,--
MC,Cardiology,MC004A,Balloon Pulmonary Valvotomy,23400,Clinical notes with planned line of treatment and ECHO report with stills.,"Procedure / Operative notes with still images, Post procedure stills of Echo with report; Invoice of blade / balloon used, Detailed Discharge Summary .",No,--
MC,Cardiology,MC004B,Balloon Aortic Valvotomy,23400,Clinical notes with planned line of treatment and ECHO report with stills.,"Procedure / Operative notes with still images, Post procedure stills of Echo with report; Invoice of blade / balloon used, Detailed Discharge Summary .",No,--
MC,Cardiology,MC005A,Balloon Mitral Valvotomy,35700,Clinical notes with planned line of treatment and ECHO report with stills.,"Procedure / Operative notes with still images, Post procedure stills of Echo with report; Invoice of blade / balloon used, Detailed Discharge Summary .",No,--
MC,Cardiology,MC006A,Balloon Atrial Septostomy,24400,Clinical notes and ECHO / and doppler stills + reports showing the transposition of the great arteries (TGA) & need of septostomy,"Procedure / Operative notes with still images, Post procedure stills of ECHO with report; Invoice of blade / balloon used, Detailed Discharge Summary .",No,--
MC,Cardiology,MC007A,ASD Device Closure,36900,Clinical notes and ECHO report showing ASD,"Procedure / Operative notes with still images, Post procedure stills of ECHO with report; Invoice of blade / device used, Detailed Discharge Summary .",No,--
MC,Cardiology,MC008A,VSD Device Closure,37900,Clinical notes and ECHO report showing VSD,"Procedure / Operative notes with still images, Post procedure stills of ECHO with report; Invoice of blade / device used, Detailed Discharge Summary .",No,--
MC,Cardiology,MC009A,PDA Device Closure,25000,Clinical notes and ECHO report showing PDA,"Procedure / Operative notes with still images, Post procedure stills of ECHO with report; Invoice of blade / device used, Detailed Discharge Summary .",No,--
MC,Cardiology,MC010A,PDA stenting,40260,Clinical notes and ECHO report / Angio showing PDA,"Procedure / Operative notes with still images, Post procedure stills of ECHO with report; Invoice of blade / barcode of stent used, barcode of the stent used, Detailed Discharge Summary .",No,--
MC,Cardiology,MC011A,"PTCA, inclusive of diagnostic angiogram",40600,"ECG, ECHO, CAG stills showing blocks & Reports","Procedure / Operative notes with still images, Angiogram report, showing stent & post Stent flow + barcode of the stents used, Detailed Discharge Summary",No,--
MC,Cardiology,MC012A,Electrophysiological Study,20000,"Clinical notes with planned line of treatment, ECG, ECHO, Serum Elctrolytes","Discharge summary, EP study report",No,--
MC,Cardiology,MC012B,"Electrophysiological Study 
with Radio Frequency Ablation",20000,"Clinical notes with planned line of treatment, ECG, ECHO, Serum Elctrolytes","Discharge summary, EP study report, Procedure / Operative Notes",No,--
MC,Cardiology,MC013A,Percutaneous Transluminal Septal Myocardial Ablation,34000,"Clinical notes and ECG, ECHO, CAG stills showing blaocks justifying the procedure","Angiogram report with stills, showing stent & post Stent flow + barcode / Invoice of the stent used",No,--
MC,Cardiology,MC014A,Temporary Pacemaker implantation,19200,Clinical notes and ECG + Report by cardiologist necessitating procedure,"X Ray showing the pacemaker in situ; detailed discharge summary, Detailed Procedure / Operative Notes; Invoice / barcode of pacemaker",No,--
MC,Cardiology,MC015A,"Permanent Pacemaker Implantation - 
Single Chamber",24500,Clinical notes and ECG + Report by cardiologist necessitating procedure; Angiogram if done,"X Ray showing the pacemaker in situ, Invoice / Barcode of designated pacemaker. Detailed Procedure / Operative Notes, detailed discharge summary",No,--
MC,Cardiology,MC016A,"Permanent Pacemaker Implantation - 
Double Chamber",33000,Clinical notes and ECG + Report by cardiologist necessitating procedure; Angiogram if done,"X Ray showing the pacemaker in situ, Invoice / Barcode of designated pacemaker. Detailed Procedure / Operative Notes, detailed discharge summary",No,--
MC,Cardiology,MC017A,Peripheral Angioplasty,34500,"ECHO, Doppler, Angio stills showing blocks & Reports","Post op. Angiogram report/ stills, showing stent; Implant / barcode of stent used",No,--
MC,Cardiology,MC018A,"Bronchial artery Embolisation 
(for Haemoptysis)",32800,Clinical notes and Chest X-Ray / HRCT chest with CT Pulmonary Angiogram & other investigations,"Check Angiography of same bronchial artery after the procedure. Detailed discharge summary; Detailed Procedure / Operative Notes, Hb, Serum Creatinine",No,--
MC,Cardiology,MC019A,Pericardiocentesis,12100,Clinical notes and ECHO report justifying need of procedure,"Intra procedure clinical photograph, post procedure ECHO report; Analysis of fluid removed.",No,--
MC,Cardiology,MC020A,Systemic Thrombolysis (for MI),17900,"Serial ECGs showing MI, Cardiac markers - CPK-MB, TROP I or TROP T","ECHO, ECG, Lab Investigation (TROP - T report); invoice / barcode of thrombolytic agent used",No,--
MG,General Medicine,MG001A,Acute febrile illness,0,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",No,--
MG,General Medicine,MG002A,Severe sepsis,0,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",No,--
MG,General Medicine,MG002B,Septic shock,0,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",No,--
MG,General Medicine,MG003A,Malaria,0,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",No,--
MG,General Medicine,MG003B,Complicated malaria,0,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",No,--
MG,General Medicine,MG004A,Dengue fever,0,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",No,--
MG,General Medicine,MG004B,Dengue hemorrhagic fever,0,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",No,--
MG,General Medicine,MG004C,Dengue shock syndrome,0,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",No,--
MG,General Medicine,MG005A,Chikungunya fever,0,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",No,--
MG,General Medicine,MG006A,Enteric fever,0,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",No,--
MG,General Medicine,MG007A,HIV with complications,0,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Yes,No
MG,General Medicine,MG008A,Leptospirosis,0,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",No,--
MG,General Medicine,MG009A,Acute gastroenteritis with moderate dehydration,0,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Yes,No
MG,General Medicine,MG009B,Acute gastroenteritis with severe dehydration,0,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",No,--
MG,General Medicine,MG010A,Chronic diarrohea,0,Clinical notes with planned line of treatment,"Detailed Discharge Summary, any other investigations done",Yes,No
MG,General Medicine,MG010B,Persistent diarrohea,0,Clinical notes with planned line of treatment; stool examintaion,"Detailed Discharge Summary summary, any other investigations done",Yes,No
MG,General Medicine,MG011A,Dysentery,0,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",No,--
MG,General Medicine,MG012A,Acute viral hepatitis,0,"Clinical notes with planned line of treatment, LFT, USG - Whole Abdomen","Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",No,--
MG,General Medicine,MG013A,Chronic Hepatitis ,0,"Clinical notes with planned line of treatment, LFT, USG - Whole Abdomen","Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",No,--
MG,General Medicine,MG014A,Liver abscess,0,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Yes,No
MG,General Medicine,MG015A,Visceral leishmaniasis,0,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",No,--
MG,General Medicine,MG016A,Pneumonia,0,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",No,--
MG,General Medicine,MG017A,Severe pneumonia,0,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",No,--
MG,General Medicine,MG018A,Empyema,0,"Clinical notes with planned line of treatment, CBC, X ray chest","Post Treatment X-ray chest, Detailed Discharge Summary",No,--
MG,General Medicine,MG019A,Lung abscess,0,"Clinical notes with planned line of treatment , X-ray chest, CBC and any other investigations done, planned line of management","Post Treatment X-ray chest, CBC,  Detailed Discharge summary.",No,--
MG,General Medicine,MG020A,Pericardial tuberculosis,0,Clinical notes detailing history and Admission notes showing vitals and examination findings; investigations done,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",No,--
MG,General Medicine,MG020B,Pleural tuberculosis,0,Clinical notes detailing history and Admission notes showing vitals and examination findings; investigations done,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Yes,No
MG,General Medicine,MG021A,Urinary Tract Infection,0,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Yes,No
MG,General Medicine,MG022A,Viral encephalitis,0,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",No,--
MG,General Medicine,MG023A,Septic Arthritis ,0,"Clinical notes with planned line of treatment, CBC, X-ray of the affected joint","Post treatment X-ray / Radiological evidence, CBC, Detailed Discharge Summary",No,--
MG,General Medicine,MG024A,Skin and soft tissue infections ,0,"Clinical notes with planned line of treatment, CBC","Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports including CBC",Yes,No
MG,General Medicine,MG025A,Recurrent vomiting with dehydration,0,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Yes,No
MG,General Medicine,MG026A,Pyrexia of unknown origin,0,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",No,--
MG,General Medicine,MG027A,Bronchiectasis,0,"X ray-Chest, Clinical notes with planned line of treatment","Post treatment X-ray / Radiological evidence, Detailed Discharge Summary, Detailed ICPs, Treatment details, All investigations reports.",No,--
MG,General Medicine,MG028A,Acute bronchitis,0,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",No,--
MG,General Medicine,MG029A,Acute excaberation of COPD,0,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",No,--
